#        name,          rb,          rb_err
              HD204313  ,   4.730,   0.819
              HD204385  ,   6.729,   0.693
              HD204941  ,   4.821,   3.523
              HD205294  ,  10.955,   0.747
              HD205536  ,   2.832,   3.640
              HD205591  ,   9.695,   0.689
              HD206116  ,   5.221,   0.687
              HD206172  ,   8.029,   1.463
              HD20619   ,   8.128,   1.219
              HD206998  ,   6.268,   4.952
              HD207129  ,   7.801,   0.664
              HD207190  ,  10.521,   1.274
              HD207700  ,   2.729,   3.028
              HD20781   ,   4.483,   3.220
              HD20782   ,   5.124,   2.020
              HD207869  ,   4.356,   4.505
              HD20794   ,   2.084,   4.896
              HD207970  ,   2.470,   2.972
              HD208     ,   7.523,   2.373
              HD20807   ,   9.972,   0.895
              HD208487  ,   7.209,   0.692
              HD20852   ,  13.058,   0.732
              HD208672  ,   6.913,   0.678
              HD208704  ,   5.552,   1.945
              HD209449  ,   2.472,   0.673
              HD209566  ,   3.727,   1.400
              HD209742  ,   3.892,   3.783
              HD21019   ,  11.878,   1.117
              HD210272  ,   7.965,   1.200
              HD210277  ,   2.244,   2.246
              HD210320  ,   2.914,   2.575
              HD210752  ,   7.512,   4.711
              HD210918  ,   4.385,   2.947
              HD211038  ,   7.184,   2.433
              HD211317  ,   4.181,   0.697
              HD21132   ,  12.053,   0.781
              HD211415  ,   6.999,   1.826
              HD21161   ,   4.962,   0.947
              HD212036  ,   4.576,   2.149
              HD212231  ,   5.785,   3.574
              HD212301  ,   6.721,   0.717
              HD212708  ,   2.613,   0.905
              HD213240  ,   5.326,   0.774
              HD213575  ,   4.450,   3.335
              HD213941  ,   2.031,   5.061
              HD214094  ,   8.077,   0.701
              HD21411   ,   8.009,   1.648
              HD214385  ,   3.803,   4.578
              HD214954  ,   4.233,   0.875
              HD215257  ,   8.722,   4.332
              HD215456  ,   6.368,   1.260
              HD215625  ,   7.409,   0.709
              HD215906  ,  10.726,   0.848
              HD216008  ,   5.352,   1.667
              HD216435  ,   4.685,   0.684
              HD216777  ,   5.382,   4.433
              HD21693   ,   4.513,   2.130
              HD217221  ,   3.656,   2.798
              HD218249  ,   7.275,   3.829
              HD218379  ,   5.587,   0.741
              HD218504  ,   7.269,   4.770
              HD218750  ,   2.208,   3.417
              HD219077  ,   5.930,   2.054
              HD219249  ,   6.422,   3.693
              HD21938   ,   3.811,   4.900
              HD21977   ,   6.278,   0.705
              HD220256  ,   3.403,   3.876
              HD220339  ,   4.951,   4.411
              HD220456  ,   7.561,   0.785
              HD220507  ,   3.601,   2.848
              HD221146  ,   4.747,   0.959
              HD221287  ,   8.544,   0.712
              HD221356  ,  10.589,   0.710
              HD221420  ,   3.525,   0.631
              HD221638  ,  10.743,   0.722
              HD22177   ,   2.516,   1.662
              HD222582  ,   5.306,   1.493
              HD222595  ,   6.800,   0.859
              HD222669  ,   7.475,   0.683
              HD22282   ,   2.792,   2.471
              HD223171  ,   4.340,   0.965
              HD223272  ,   2.700,   2.564
              HD224047  ,   5.735,   3.008
              HD224063  ,   2.809,   2.017
              HD224287  ,   5.625,   3.672
              HD224347  ,   9.571,   1.876
              HD224393  ,   9.801,   1.298
              HD224578  ,   9.059,   0.732
              HD224619  ,   5.168,   3.129
              HD224685  ,   8.187,   2.787
              HD22610   ,   5.583,   3.086
              HD22879   ,   4.753,   5.725
              HD22918   ,   4.892,   1.649
              HD23030   ,   4.559,   0.781
              HD23079   ,   8.450,   0.904
              HD23249   ,   4.696,   1.090
              HD23356   ,   4.938,   3.089
              HD23456   ,  10.478,   0.970
              HD23901   ,   3.403,   4.716
              HD24085   ,   5.513,   0.634
              HD24112   ,   5.781,   0.705
              HD24331   ,   6.499,   3.106
              HD24558   ,   5.216,   4.504
              HD24892   ,   6.763,   3.300
              HD25061   ,   3.207,   2.440
              HD25171   ,   8.772,   0.798
              HD2567    ,   4.881,   0.653
              HD25673   ,   8.418,   3.482
              HD25704   ,   5.327,   5.565
              HD25912   ,   6.924,   0.670
              HD2638    ,   1.925,   2.873
              HD26729   ,   2.531,   0.855
              HD26887   ,   9.236,   1.406
              HD27471   ,   4.938,   0.905
              HD2768    ,   5.179,   1.537
              HD28185   ,   4.201,   0.826
              HD28254   ,   1.572,   0.880
              HD283     ,   6.513,   4.592
              HD28471   ,   5.236,   1.753
              HD28701   ,   3.956,   4.427
              HD28807   ,   7.524,   0.712
              HD28821   ,   4.535,   2.973
              HD290327  ,   3.177,   3.970
              HD29137   ,   2.764,   0.817
              HD30177   ,   1.543,   0.791
              HD30278   ,   1.801,   4.285
              HD30306   ,   2.090,   2.556
              HD30669   ,   3.269,   1.915
              HD31103   ,   7.267,   0.693
              HD31128   ,  16.971,   5.274
              HD31527   ,   7.289,   1.487
              HD31532   ,   8.504,   0.715
              HD3220    ,   9.849,   0.831
              HD323631  ,   6.782,   3.164
              HD32724   ,   6.238,   2.171
              HD32804   ,   7.502,   0.743
              HD330075  ,   2.479,   3.140
              HD33473A  ,   8.502,   0.905
              HD33725   ,   5.149,   3.103
              HD34327   ,   6.838,   0.990
              HD34449   ,   9.180,   0.702
              HD34688   ,   5.067,   3.576
              HD3569    ,   5.920,   3.876
              HD36051   ,  10.017,   0.701
              HD361     ,   9.904,   0.729
              HD36108   ,   6.374,   2.404
              HD36379   ,   7.492,   1.244
              HD37226   ,   9.448,   0.717
